rand
accuracy
train size,mean
10,0.557016
20,0.538432
30,0.534664
40,0.575320
50,0.651672
60,0.621416
70,0.670400
80,0.645680
90,0.659520
100,0.610160
110,0.658024
120,0.666504
130,0.648168
140,0.660448
150,0.672216
160,0.662504
170,0.680288
180,0.677424
190,0.673544
200,0.660704
210,0.656920
220,0.682016
230,0.689288
240,0.696672
250,0.704984
260,0.703920
270,0.715280
280,0.729272
290,0.734640
300,0.731408
310,0.741512
320,0.731480
330,0.741056
340,0.749240
350,0.754632
360,0.750512
370,0.747776
380,0.745128
390,0.753856
400,0.764320
410,0.770968
420,0.774744
430,0.778800
440,0.776288
450,0.776336
460,0.775976
470,0.773128
480,0.773240
490,0.777920
500,0.779704

AUC
train size,mean
10,0.646581
20,0.651566
30,0.683910
40,0.722917
50,0.755969
60,0.750699
70,0.775512
80,0.773326
90,0.778746
100,0.766049
110,0.791257
120,0.799226
130,0.794745
140,0.799752
150,0.807838
160,0.806022
170,0.812816
180,0.815575
190,0.814503
200,0.816326
210,0.816066
220,0.826632
230,0.829642
240,0.832193
250,0.837229
260,0.839621
270,0.844288
280,0.848479
290,0.851111
300,0.852129
310,0.855093
320,0.853929
330,0.855726
340,0.857735
350,0.858534
360,0.859417
370,0.860289
380,0.860301
390,0.863127
400,0.865784
410,0.867474
420,0.867173
430,0.868216
440,0.868852
450,0.869235
460,0.870769
470,0.870835
480,0.871966
490,0.872769
500,0.873877



rand
accuracy
train size,mean
10,0.557016
20,0.538432
30,0.534664
40,0.575320
50,0.651672
60,0.621416
70,0.670400
80,0.645680
90,0.659520
100,0.610160
110,0.658024
120,0.666504
130,0.648168
140,0.660448
150,0.672216
160,0.662504
170,0.680288
180,0.677424
190,0.673544
200,0.660704
210,0.656920
220,0.682016
230,0.689288
240,0.696672
250,0.704984
260,0.703920
270,0.715280
280,0.729272
290,0.734640
300,0.731408
310,0.741512
320,0.731480
330,0.741056
340,0.749240
350,0.754632
360,0.750512
370,0.747776
380,0.745128
390,0.753856
400,0.764320
410,0.770968
420,0.774744
430,0.778800
440,0.776288
450,0.776336
460,0.775976
470,0.773128
480,0.773240
490,0.777920
500,0.779704

AUC
train size,mean
10,0.646581
20,0.651566
30,0.683910
40,0.722917
50,0.755969
60,0.750699
70,0.775512
80,0.773326
90,0.778746
100,0.766049
110,0.791257
120,0.799226
130,0.794745
140,0.799752
150,0.807838
160,0.806022
170,0.812816
180,0.815575
190,0.814503
200,0.816326
210,0.816066
220,0.826632
230,0.829642
240,0.832193
250,0.837229
260,0.839621
270,0.844288
280,0.848479
290,0.851111
300,0.852129
310,0.855093
320,0.853929
330,0.855726
340,0.857735
350,0.858534
360,0.859417
370,0.860289
380,0.860301
390,0.863127
400,0.865784
410,0.867474
420,0.867173
430,0.868216
440,0.868852
450,0.869235
460,0.870769
470,0.870835
480,0.871966
490,0.872769
500,0.873877



rand
accuracy
train size,mean
10,0.518772
20,0.567895
30,0.580175
40,0.591754
50,0.591754
60,0.609298
70,0.614035
80,0.613684
90,0.614737
100,0.623509
110,0.624912
120,0.633333
130,0.638070
140,0.645439
150,0.641754
160,0.659474
170,0.660877
180,0.658421
190,0.663509
200,0.671053
210,0.674386
220,0.684035
230,0.681404
240,0.674912
250,0.688596
260,0.699298
270,0.696491
280,0.698246
290,0.700351
300,0.691404
310,0.692982
320,0.704561
330,0.711754
340,0.704737
350,0.709298
360,0.713158
370,0.723333
380,0.739825
390,0.731404
400,0.735439
410,0.735088
420,0.731053
430,0.735088
440,0.739474
450,0.730526
460,0.729298
470,0.727368
480,0.736842
490,0.743860
500,0.750000

AUC
train size,mean
10,0.552931
20,0.585776
30,0.618400
40,0.643036
50,0.662861
60,0.684359
70,0.696552
80,0.708243
90,0.721051
100,0.730587
110,0.744337
120,0.757025
130,0.766132
140,0.779956
150,0.784346
160,0.795093
170,0.804477
180,0.810563
190,0.818217
200,0.826535
210,0.834369
220,0.845497
230,0.849099
240,0.850014
250,0.860335
260,0.871403
270,0.872316
280,0.876435
290,0.879397
300,0.881458
310,0.882942
320,0.892312
330,0.898249
340,0.898055
350,0.901862
360,0.906859
370,0.914774
380,0.923192
390,0.923543
400,0.927356
410,0.930546
420,0.932378
430,0.936457
440,0.940285
450,0.940691
460,0.943010
470,0.945233
480,0.948897
490,0.953312
500,0.957925



rand
accuracy
train size,mean
10,0.557016
20,0.538432
30,0.534664
40,0.575320
50,0.651672
60,0.621416
70,0.670400
80,0.645680
90,0.659520
100,0.610160
110,0.658024
120,0.666504
130,0.648168
140,0.660448
150,0.672216
160,0.662504
170,0.680288
180,0.677424
190,0.673544
200,0.660704
210,0.656920
220,0.682016
230,0.689288
240,0.696672
250,0.704984
260,0.703920
270,0.715280
280,0.729272
290,0.734640
300,0.731408
310,0.741512
320,0.731480
330,0.741056
340,0.749240
350,0.754632
360,0.750512
370,0.747776
380,0.745128
390,0.753856
400,0.764320
410,0.770968
420,0.774744
430,0.778800
440,0.776288
450,0.776336
460,0.775976
470,0.773128
480,0.773240
490,0.777920
500,0.779704

AUC
train size,mean
10,0.646581
20,0.651566
30,0.683910
40,0.722917
50,0.755969
60,0.750699
70,0.775512
80,0.773326
90,0.778746
100,0.766049
110,0.791257
120,0.799226
130,0.794745
140,0.799752
150,0.807838
160,0.806022
170,0.812816
180,0.815575
190,0.814503
200,0.816326
210,0.816066
220,0.826632
230,0.829642
240,0.832193
250,0.837229
260,0.839621
270,0.844288
280,0.848479
290,0.851111
300,0.852129
310,0.855093
320,0.853929
330,0.855726
340,0.857735
350,0.858534
360,0.859417
370,0.860289
380,0.860301
390,0.863127
400,0.865784
410,0.867474
420,0.867173
430,0.868216
440,0.868852
450,0.869235
460,0.870769
470,0.870835
480,0.871966
490,0.872769
500,0.873877



rand
accuracy
train size,mean
10,0.557016
20,0.538432
30,0.534664
40,0.575320
50,0.651672
60,0.621416
70,0.670400
80,0.645680
90,0.659520
100,0.610160
110,0.658024
120,0.666504
130,0.648168
140,0.660448
150,0.672216
160,0.662504
170,0.680288
180,0.677424
190,0.673544
200,0.660704
210,0.656920
220,0.682016
230,0.689288
240,0.696672
250,0.704984
260,0.703920
270,0.715280
280,0.729272
290,0.734640
300,0.731408
310,0.741512
320,0.731480
330,0.741056
340,0.749240
350,0.754632
360,0.750512
370,0.747776
380,0.745128
390,0.753856
400,0.764320
410,0.770968
420,0.774744
430,0.778800
440,0.776288
450,0.776336
460,0.775976
470,0.773128
480,0.773240
490,0.777920
500,0.779704

AUC
train size,mean
10,0.646581
20,0.651566
30,0.683910
40,0.722917
50,0.755969
60,0.750699
70,0.775512
80,0.773326
90,0.778746
100,0.766049
110,0.791257
120,0.799226
130,0.794745
140,0.799752
150,0.807838
160,0.806022
170,0.812816
180,0.815575
190,0.814503
200,0.816326
210,0.816066
220,0.826632
230,0.829642
240,0.832193
250,0.837229
260,0.839621
270,0.844288
280,0.848479
290,0.851111
300,0.852129
310,0.855093
320,0.853929
330,0.855726
340,0.857735
350,0.858534
360,0.859417
370,0.860289
380,0.860301
390,0.863127
400,0.865784
410,0.867474
420,0.867173
430,0.868216
440,0.868852
450,0.869235
460,0.870769
470,0.870835
480,0.871966
490,0.872769
500,0.873877



